College Name,Address,Phone#,Website,Type,Degrees,Campus Type,Campus Housing,Student Pop,StudentsToTeachers,MissionStatement,Classification,SLOs,Religious Affiliation,Credits Accepted,Faculty(full-time),Faculty(part-time),Graduate Assistants,Tuition,Books/Supplies,Room/Board,Total Expenses,Undergraduate Avg Tuition (In-State),Undergraduate Avg Tuition (Out-of-State),Graduate Avg Tuition (In-State),Graduate Avg Tuition (Out-of-State),Avg Tuition,Avg Aid(grants),Gender Demographic(Male),Gender Demographic(Female),Ethnic Demographic (American Indian or Alaska Native),Ethnic Demographic (Asian),Ethnic Demographic(Black or African American),Ethnic Demographic(Hispanic/Latino),Ethnic Demographic(Native Hawaiian or other Pacific Islander),Ethnic Demographic(White),Ethnic Demographic(Two or more races),Ethnic Demographic(Unknown),Ethnic Demographic(Non-resident alien),Avg Student Age (24 and Under),Avg Student Age(25 and Over),Avg Student Residence (In-State),Avg Student Residence(Out-of-State),Avg Student Residence(Foreign Countries),Graduate Attendance Status(Full-time),Graduate Attendance Status(Part-time),Undergraduate Education Status (Remote),Undergraduate Education Status (In-Person),Graduate Education Status (Remote),Graduate Education Status (In-Person),Application Fee,Total Applicants,Percent Admitted,Percent Admitted Enrolled,Secondary School GPA,Secondary School Rank,Secondary School Record,Completion of College-Prep Program,Recommendation,SAT/ACT,TOEFL,Students Submitting Scores (SAT),Students Submitting Scores (ACT),SAT English 25th Percentile,SAT English 75th Percentile,SAT Math 25th percentile,SAT Math 75th Percentile,ACT Composite 25th Percentile,ACT Composite 75th Percentile,ACT English 25th Percentile,ACT English 75th Percentile,ACT Math 25th Percentile,ACT Math 75th Percentile,First-to-Second Year Retention Rate,Graduation Rate,Transfer Rate,Graduation Rate (Male),Graduation Rate (Female),Graduation Rate by Race/Ethnicity(American Indian or Alaska Native),Graduation Rate by Race/Ethnicity(Asian),Graduation Rate by Race/Ethnicity(Black or African American),Graduation Rate by Race/Ethnicity(Hispanic/Latino),Graduation Rate by Race/Ethnicity(Native Hawaiian or other Pacific Islander),Graduation Rate by Race/Ethnicity(White),Graduation Rate by Race/Ethnicity(Two or more Races),Graduation Rate by Race/Ethnicity(Race/Ethnicity Unknown),Graduation Rate by Race/Ethnicity(Non-resident Alien),Murder/Non-negligent Manslaughter,Negligent Manslaughter,Rape,Fondling,Incest,Statutory Rape,Robbery,Aggravated Assault,Burglary,Motor Vehicle Theft,Arson,Domestic Violence,Dating Violence,Stalking,Weapons Arrests,Drug Abuse Arrests,Liquor Law Violation Arrests,Weapons Disciplinary Action,Drug Abuse Disciplinary Action,Liquor Law Violation Disciplinary Action,Programs
Fortis College-Salt Lake City,"3949 S 700 E Ste 150, Salt Lake City, Utah 84107",(801) 713-0915,www.fortiscollege.edu/,"2-year, Private for-profit","One but less than two years certificate
,Associate's degree",Suburb: Large,No,490 (all undergraduate),15 to 1,"Provide post-secondary career education to both traditional and nontraditional students through a variety of diploma and degree programs that assist adult students in enhancing their career opportunities and improving problem-solving abilities. Fortis College strives to develop within its students the desire for lifelong and continued education. Fortis College educates its students to help meet the economic needs of their community in entry-level positions. The educational process is a change-oriented approach to education that provides the community with graduates who possess the skills and knowledge needed to succeed in existing and emerging career occupations. The following goals are integral to the mission of Fortis College: - To offer sound diploma and degree programs. - To develop each student's individual and professional growth, including written and interpersonal communication, critical thinking, and problem-solving competencies. - To minimize economic disadvantages as a barrier to postsecondary education by providing financial aid services and by accepting students without regard to age, sex, religion, race, physical challenges, or economic or social background. - To attract and retain qualified instructors who are effective in the classroom and familiar with appropriate current medical and/or technical practices. - To maintain a dynamic organization that is responsible and responsive to its constituencies. - To develop each student's individual and professional growth, including written and interpersonal communication, critical thinking, and problem-solving competencies. - To assist graduates in finding positions for which they are trained. - To select teachers with professional experience who have the ability to motivate and develop students. - To promote self-discipline and motivation so that students may enjoy success on the job and in society",Special Focus Two-Year: Health Professions,"Distance education – undergraduate courses offered, programs not offered,Weekend/evening college",Not applicable,"Dual credit,Advanced placement (AP) credits",15,41,n/a,"$14,240 ","$1,080 ","$12,038 ","$36,403 ",n/a,n/a,n/a,n/a,n/a,"$6,874 ",30%,70%,1%,5%,4%,19%,4%,61%,3%,2%,0%,42%,58%,100%,0%,0%,n/a,n/a,53%,47%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50%,58%,n/a,61%,55%,75%,100%,40%,62%,50%,54%,33%,80%,n/a,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Healing Mountain Massage School,"363 South 500 East, Suite 210, Salt Lake City, Utah 84102-4002",(801) 355-6300,www.healingmountain.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,43 (all undergraduate),8 to 1,healingmountain.edu/mission,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Distance education – undergraduate courses offered, programs not offered,Weekend/evening college",Not applicable,Credit for life experiences,0,30,n/a,"$12,900 ",$750 ,"$8,676 ","$28,383 ",n/a,n/a,n/a,n/a,n/a,"$4,244 ",30%,70%,0%,2%,0%,14%,0%,84%,0%,0%,0%,23%,77%,100%,0%,0%,n/a,n/a,100%,0%,n/a,n/a," $100
This institution has an open admission policy. Contact the institution for more information.
Class space fills up very quickly (8-15 Max). To fully enroll in school, students need to: complete an Enrollment Application, an Enrollment Agreement, bring in all necessary paperwork and pay a $100 deposit/ registration fee to secure a seat in the class. Prospective students need to have a state-recognized high school diploma or G.E.D. certificate. Additionally, they must be 18 yrs. old by the time they graduate from HMMS.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,83%,90%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mandalyn Academy,"648 East State Road, Unit B, American Fork, Utah 84003-2161",(801) 772-3131,www.mandalynacademy.com/,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",Suburb: Large,No,71 (all undergraduate),14 to 1,"The mission of Mandalyn Academy is to assist in the transformation of lives, by preparing committed individuals to be successful professionals in the Cosmetology and Esthetics industries.","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Weekend/evening college,Not applicable,Dual credit,3,2,n/a,"$14,995 ","$2,000 ","$8,298 ","$29,469 ",n/a,n/a,n/a,n/a,n/a,"$3,423 ",0%,100%,0%,1%,1%,20%,0%,72%,6%,0%,0%,77%,23%,93%,7%,0%,n/a,n/a,0%,100%,n/a,n/a," $50
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,86%,85%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Medspa Academies,"10714 South River Front Parkway, South Jordan, Utah 84095-3519",(801) 302-1650,www.nima.edu/,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",Suburb: Large,No,218 (all undergraduate),10 to 1,www.nima.edu/mission-statement/,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Weekend/evening college,Not applicable,"Institution does not accept dual, credit for life, or AP credits",24,0,n/a,"$16,050 ","$1,000 ","$10,144 ","$36,194 ",n/a,n/a,n/a,n/a,n/a,"$4,492 ",1%,99%,0%,3%,1%,16%,1%,72%,6%,1%,0%,67%,33%,89%,11%,0%,n/a,n/a,0%,100%,n/a,n/a," $50
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,93%,89%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Midwives College of Utah,All programs offered completely via Distance education,(801) 649-5230,www.midwifery.edu/,"4-year, Private not-for-profit","Associate's degree
,Bachelor's degree
,Master's degree",City: Midsize,No,258 (252 undergraduate),5 to 1,www.midwifery.edu/why-mcu/,Special Focus Four-Year: Other Health Professions Schools,"Distance education – undergraduate programs offered,Distance education – graduate programs offered",Not applicable,Credit for life experiences,3,29,n/a,"$7,719 ",$875 ,"$14,124 ","$31,922 ",n/a,n/a,n/a,n/a,"$7,260 ","$4,465 ",0%,100%,2%,0%,16%,6%,0%,71%,0%,4%,0%,8%,92%,0%,100%,0%,n/a,n/a,100%,0%,100%,0%,$65 ,11,82%,56%,Required,Considered but not required,Required,Considered but not required,Required,Considered but not required,Required,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,80%,33%,11%,n/a,33%,n/a,n/a,0%,50%,n/a,40%,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mountainland Technical College,"2301 West Ashton Blvd., Lehi, Utah 84043",(801) 753-4100,mtec.edu/,"< 2-year, Public","Less than one year certificate
,One but less than two years certificate",Suburb: Large,No,"3,772 (all undergraduate)",14 to 1,mtec.edu/mission-statement/,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Weekend/evening college,Not applicable,Credit for life experiences,70,183,n/a,"$2,525 ",$233 ,"$4,763 ","$9,666 ",n/a,n/a,n/a,n/a,n/a,"$1,975 ",55%,45%,1%,1%,1%,15%,1%,79%,2%,0%,0%,77%,23%,100%,0%,0%,n/a,n/a,0%,100%,n/a,n/a," $40
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,90%,81%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Myotherapy College of Utah,"3950 South 700 East, Suite 100, Millcreek City, Utah 84107",(801) 484-7624,myotherapycollege.com/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,48 (all undergraduate),4 to 1,The mission of Myotherapy College of Utah is to provide students with high-quality education and experience to join and thrive in the Massage Therapy profession!,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",0,23,n/a,"$11,625 ","$1,769 ","$9,120 ","$28,709 ",n/a,n/a,n/a,n/a,n/a,"$2,275 ",40%,60%,0%,2%,2%,19%,0%,75%,2%,0%,0%,33%,67%,94%,3%,0%,n/a,n/a,0%,100%,n/a,n/a," $25
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,81%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Neumont College of Computer Science,"143 South Main Street, Salt Lake City, Utah 84111-1917",(801) 302-2800,www.neumont.edu/,"4-year, Private for-profit","Associate's degree
,Bachelor's degree",City: Midsize,Yes,517 (all undergraduate),29 to 1,www.neumont.edu/mission-statement-values.html,Special Focus Four-Year: Engineering and Other Technology-Related Schools,Distance education – undergraduate programs offered,Not applicable,"Dual credit,Advanced placement (AP) credits",11,14,n/a,"$25,995 ","$1,200 ","$9,048 ","$39,659 ",n/a,n/a,n/a,n/a,n/a,"$10,130 ",85%,15%,2%,3%,6%,17%,1%,51%,6%,14%,0%,94%,6%,25%,75%,0%,n/a,n/a,0%,100%,n/a,n/a,n/a,983,91%,19%,Required,Recommended,Required,Recommended,Considered but not required,Recommended,Considered but not required,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70%,54%,n/a,55%,48%,0%,50%,45%,73%,n/a,52%,73%,52%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nightingale College,"175 S Main St Suite 400, Salt Lake City, Utah 84111",(801) 689-2160,www.nightingale.edu/,"4-year, Private for-profit","One but less than two years certificate
,Associate's degree
,Bachelor's degree
,Master's degree",City: Midsize,No,"2,275 (2,273 undergraduate)",12 to 1,nightingale.edu/mission-vision-and-values/,Special Focus Four-Year: Other Health Professions Schools,"Distance education – undergraduate programs offered,Distance education – graduate programs offered",Not applicable,Advanced placement (AP) credits,146,4,n/a,"$70,800 ","$8,525 ","$33,120 ","$148,477 ",n/a,n/a,n/a,n/a,n/a,"$4,687 ",14%,86%,1%,12%,17%,19%,2%,45%,1%,3%,0%,17%,83%,14%,80%,0%,n/a,n/a,100%,0%,100%,0%," $150
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47%,49%,21%,50%,49%,n/a,n/a,n/a,0%,n/a,62%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Ogden-Weber Technical College,"200 N Washington Blvd, Ogden, Utah 84404-4089",(801) 627-8300,www.otech.edu/,"< 2-year, Public","Less than one year certificate
,One but less than two years certificate",City: Small,No,"2,935 (all undergraduate)",11 to 1,www.otech.edu/about-us/our-mission/,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Distance education – undergraduate programs offered,Weekend/evening college",Not applicable,Dual credit,74,126,n/a,"$3,885 ",$879 ,"$16,336 ","$27,820 ",n/a,n/a,n/a,n/a,n/a,"$2,827 ",58%,42%,1%,1%,1%,23%,7%,62%,2%,0%,3%,65%,35%,99%,1%,0%,n/a,n/a,3%,97%,n/a,n/a," $45
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,65%,65%,1%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Paul Mitchell the School-Logan,"1300 N Main Street, Suite 1136, Logan, Utah 84341",(435) 752-3599,paulmitchell.edu/logan,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",City: Small,No,152 (all undergraduate),10 to 1,"At Paul Mitchell The School Logan, our mission is to provide a quality educational system to prepare students to pass the state board examination and gain employment within their chosen field of study. We promote and recognize the principles of fairness, equity, inclusion, anti-racism, and social justice. Our culture is about celebrating diversity, bringing out the best in people and situations, changing lives, making a difference, giving back, healing the planet, and healing ourselves. We also provide a solid educational foundation to empower our team members in the pursuit of excellence. We strongly believe that when people come first, success will follow.","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",7,1,n/a,"$14,640 ","$2,215 ","$12,374 ","$33,519 ",n/a,n/a,n/a,n/a,n/a,"$4,313 ",5%,95%,3%,1%,0%,22%,1%,70%,3%,0%,0%,66%,34%,48%,52%,0%,n/a,n/a,0%,100%,n/a,n/a," $100
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,76%,87%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Paul Mitchell the School-Ogden,"2285 Grant Avenue, Ogden, Utah 84401",(801) 392-2104,paulmitchell.edu/ogden,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",City: Small,No,150 (all undergraduate),11 to 1,"At Paul Mitchell The School Ogden, our mission is to provide a quality educational system to prepare students to pass the state board examination and gain employment within their chosen field of study. We promote and recognize the principles of fairness, equity, inclusion, anti-racism, and social justice. Our culture is about embracing diversity, bringing out the best in people and situations, changing lives, making a difference, giving back, healing the planet, and healing ourselves. We also provide a solid educational foundation to empower our team members in the pursuit of excellence. We strongly believe that when people come first, success will follow.","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Weekend/evening college,Not applicable,"Institution does not accept dual, credit for life, or AP credits",6,4,n/a,"$17,760 ","$1,385 ","$15,795 ","$41,454 ",n/a,n/a,n/a,n/a,n/a,"$5,876 ",10%,90%,0%,1%,2%,16%,1%,71%,9%,0%,0%,61%,39%,100%,0%,0%,n/a,n/a,0%,100%,n/a,n/a," $10
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100%,48%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Paul Mitchell the School-Richland-Provo,"480 North 900 East, Provo, Utah 84606-3424",(801) 494-0214,paulmitchell.edu/provo,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",City: Midsize,No,116 (all undergraduate),14 to 1,"At Paul Mitchell The School Provo, our mission is to provide a quality educational system to prepare students to pass the state board examination and gain employment within their chosen field of study. We promote and recognize the principles of fairness, equity, inclusion, anti-racism, and social justice. Our culture is about celebrating diversity, bringing out the best in people and situations, changing lives, making a difference, giving back, healing the planet, and healing ourselves. We also provide a solid educational foundation to empower our team members in the pursuit of excellence. We strongly believe that when people come first, success will follow.","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Weekend/evening college,Not applicable,"Institution does not accept dual, credit for life, or AP credits",8,1,n/a,"$18,000 ","$2,195 ","$11,857 ","$35,721 ",n/a,n/a,n/a,n/a,n/a,"$5,380 ",6%,94%,0%,0%,1%,1%,0%,21%,30%,47%,0%,80%,20%,71%,29%,0%,n/a,n/a,0%,100%,n/a,n/a," $100
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,59%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Paul Mitchell the School-Salt Lake City,"1969 East Murray Holladay Road, Holladay, Utah 84117",(801) 266-4693,paulmitchell.edu/saltlakecity,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",Suburb: Large,No,311 (all undergraduate),14 to 1,"At Paul Mitchell The School Salt Lake City, our mission is to provide a quality educational system to prepare students to pass the state board examination and gain employment within their chosen field of study. We promote and recognize the principles of fairness, equity, inclusion, anti-racism, and social justice. Our culture is about celebrating diversity, bringing out the best in people and situations, changing lives, making a difference, giving back, healing the planet, and healing ourselves. We also provide a solid educational foundation to empower our team members in the pursuit of excellence. We strongly believe that when people come first, success will follow.","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Weekend/evening college,Not applicable,"Institution does not accept dual, credit for life, or AP credits",11,6,n/a,"$17,970 ","$1,906 ","$14,729 ","$39,689 ",n/a,n/a,n/a,n/a,n/a,"$5,580 ",14%,86%,1%,0%,3%,19%,2%,59%,2%,13%,2%,57%,43%,96%,4%,0%,n/a,n/a,0%,100%,n/a,n/a," $25
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,73%,61%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Paul Mitchell the School-St. George,"1487 S Silicon Way Ste #A3, Saint George, Utah 84770-0000",(435) 673-5233,paulmitchell.edu/stgeorge,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",Rural: Fringe,No,119 (all undergraduate),15 to 1,"At Paul Mitchell The School St. George, our mission is to provide a quality educational system to prepare students to pass the state board examination and gain employment within their chosen field of study. We promote and recognize the principles of fairness, equity, inclusion, anti-racism, and social justice. Our culture is about celebrating diversity, bringing out the best in people and situations, changing lives, making a difference, giving back, healing the planet, and healing ourselves. We also provide a solid educational foundation to empower our team members in the pursuit of excellence. We strongly believe that when people come first, success will follow.","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",3,2,n/a,"$13,200 ","$2,263 ","$15,215 ","$35,911 ",n/a,n/a,n/a,n/a,n/a,"$3,907 ",8%,92%,2%,2%,3%,16%,0%,77%,1%,0%,0%,72%,28%,73%,27%,0%,n/a,n/a,0%,100%,n/a,n/a," $100
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,73%,64%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Provo College,"1450 W 820 N, Provo, Utah 84601",(877) 660-4623,www.provocollege.edu/,"4-year, Private for-profit","Less than one year certificate
,One but less than two years certificate
,Associate's degree
,Bachelor's degree
,Master's degree",City: Midsize,No,684 (all undergraduate),25 to 1,www.provocollege.edu/about/,Special Focus Four-Year: Other Health Professions Schools,"Distance education – undergraduate courses offered, programs not offered,Distance education – graduate courses offered, programs not offered,Weekend/evening college",Not applicable,"Institution does not accept dual, credit for life, or AP credits",17,31,n/a,"$17,112 ",n/a,"$10,336 ","$36,448 ",n/a,n/a,n/a,n/a,"$17,112 ","$5,004 ",15%,85%,2%,2%,1%,13%,1%,76%,2%,3%,0%,40%,60%,97%,3%,0%,n/a,n/a,100%,0%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,59%,45%,2%,41%,46%,0%,n/a,25%,53%,0%,52%,0%,9%,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Renaissance Academie,"1460 N. Moonriver Drive, Provo, Utah 84604",(801) 373-2887 x2,www.race.edu/,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",City: Midsize,No,198 (all undergraduate),12 to 1,www.race.edu/about-us.html,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",2,22,n/a,"$15,996 ","$2,100 ","$22,854 ","$47,413 ",n/a,n/a,n/a,n/a,n/a,"$6,195 ",1%,99%,0%,2%,0%,12%,2%,80%,4%,1%,0%,75%,24%,100%,0%,0%,n/a,n/a,0%,100%,n/a,n/a," $75
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100%,60%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
